"Symbol","Name","Industry","Market Cap (Short)","Market Cap (Raw)","$Price","%Change","Volume","%Volume"
"688271","SHANGHAI UNITED IMAGING HEALTHCARE CO.,","STAR Market","10.1M","10108297.7228","122.65","0.04","1630718","-39.66"
"601336","New China Life Insurance Company","Main Board","10.1M","10085494.1578","32.33","-1.16","8432174","-27.25"
"600547","Shandong Gold Mining Co.,Ltd","Main Board","10.1M","10078636.7198","22.53","-0.84","28186784","48.77"
"688223","JINKO SOLAR CO.,","STAR Market","10M","10020000","10.02","-2.72","66632563","-14.33"
"688036","Shenzhen Transsion Holdings Co.,","STAR Market","10M","9956240.8288","123.44","-2.10","3905557","-4.66"
"601600","Aluminum Corporation of China","Main Board","10M","9953723.0996","5.8","-1.36","86315935","-14.16"
"600893","Aecc Aviation Power Co,Ltd","Main Board","9.9M","9929338.5366","37.25","-0.32","8044608","-5.34"
"600346","Hengli Petrochemical Co.,Ltd","Main Board","9.9M","9925130.6983","14.1","-0.70","6521901","-52.45"
"600660","Fuyao Glass Industry Group Co.,Ltd","Main Board","9.6M","9603856.1978","36.8","0.99","8843136","25.78"
"601169","Bank of Beijing Co.,","Main Board","9.5M","9493199.9381","4.49","0.22","35427861","-32.33"
"600115","China Eastern Airlines Corporation","Main Board","9.4M","9362344.5594","4.2","0","38270120","10.72"
"600886","SDIC POWER HOLDINGS CO.,LTD","Main Board","9.3M","9265545.4877","12.43","0.89","15599070","-12.19"
"600009","Shanghai International Airport Co.,Ltd","Main Board","9.2M","9212357.9207","37.02","-0.91","7068993","1.55"
"601989","China Shipbuilding Industry Company","Main Board","9.1M","9098012.0943","3.99","-0.75","33040430","-33.82"
"This is a demo version limited to 100 rows. To access the full data file, subscribe at nitrocharts.com/subscribe"
